weight,variant,system,view,group,denominator,candidate_count_min,candidate_count_median,candidate_count_max,card_hit_at_3,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,strict_exact_doc_dedup,evidence,20,34,37.0,42,0.9,0.8,0.75,0.7208333333333334,0.7020506525411576
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,strict_exact_doc_dedup,numeric,10,35,37.0,42,1.0,0.9,0.8,0.7833333333333333,0.7470371331867833
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,strict_exact_doc_dedup,semantic,10,34,36.0,38,0.8,0.7,0.7,0.6583333333333333,0.657064171895532
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,answer_bearing_exact_doc_dedup,evidence,20,34,37.0,42,0.9,0.9,0.506765873015873,0.8916666666666666,0.6215684185189323
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,answer_bearing_exact_doc_dedup,numeric,10,35,37.0,42,1.0,1.0,0.5283333333333333,0.9333333333333332,0.6239363071710939
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,answer_bearing_exact_doc_dedup,semantic,10,34,36.0,38,0.8,0.8,0.4851984126984127,0.85,0.6192005298667709
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,answer_bearing_gold_family_oracle,evidence,20,34,37.0,42,0.9,0.9,1.0,0.8891666666666665,0.9158764682653967
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,answer_bearing_gold_family_oracle,numeric,10,35,37.0,42,1.0,1.0,1.0,0.9333333333333332,0.95
vector_0.4_bm25_0.6,leaf_available_from_top50,no_reranker,answer_bearing_gold_family_oracle,semantic,10,34,36.0,38,0.8,0.8,1.0,0.845,0.8817529365307933
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,strict_raw,evidence,20,34,37.0,42,0.9,0.8,0.7875,0.6391666666666667,0.6543714353843766
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,strict_raw,numeric,10,35,37.0,42,0.9,0.8,0.775,0.5033333333333333,0.5728938733243273
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,strict_raw,semantic,10,34,36.0,38,0.9,0.8,0.8,0.775,0.7358489974444262
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_raw,evidence,20,34,37.0,42,0.9,0.9,0.4960191197691198,0.8533333333333333,0.6238164470873457
