cohort,system,denominator,card_precision_at_3,card_recall_at_3,card_precision_at_5,card_recall_at_5,evidence_supported_card_recall_at_5,evidence_accuracy_at_3,evidence_accuracy_at_5,candidate_card_recall_at_20,bundle_reachable_evidence_recall_at_20,card_zero_hit_at_5,supported_zero_hit_at_5,raw_top20_duplicate_count,raw_top20_unique_cards
paraphrase,old_selective_bge_d20,10,0.6666666666666667,0.64,0.5399999999999999,0.8366666666666667,0.45,0.3666666666666667,0.27999999999999997,0.9400000000000001,0.66,0.0,0.0,13.9,6.1
paraphrase,structural_bundle_all_bge_d20,10,0.7666666666666667,0.7433333333333334,0.5599999999999999,0.8699999999999999,0.6666666666666667,0.6,0.44000000000000006,0.9800000000000001,0.7066666666666667,0.0,0.0,11.5,8.5
and_combination,old_selective_bge_d20,10,0.6333333333333334,0.8416666666666668,0.42000000000000004,0.925,0.38333333333333336,0.3,0.18,0.95,0.7666666666666667,0.0,0.3,14.6,5.4
and_combination,structural_bundle_all_bge_d20,10,0.5666666666666667,0.7583333333333333,0.38,0.8333333333333333,0.6333333333333333,0.4333333333333333,0.2800000000000001,0.8833333333333332,0.6333333333333333,0.0,0.0,13.2,6.8
