configuration,corpus,candidate_depth,system,primary,diagnostic_top10,denominator,card_precision_at_3,card_recall_at_3,card_precision_at_5,card_recall_at_5,evidence_supported_card_recall_at_5,evidence_accuracy_at_3,evidence_accuracy_at_5,card_zero_hit_at_5,supported_zero_hit_at_5,raw_duplicate_count_top5
old_no_d10,old,10,no_reranker,False,True,10,0.6666666666666667,0.67,0.4600000000000001,0.7433333333333334,0.5700000000000001,0.5333333333333333,0.34,0.0,0.1,2.2
old_selective_bge_d10,old,10,selective_bge,True,True,10,0.6333333333333333,0.62,0.4800000000000001,0.7633333333333334,0.6233333333333333,0.5666666666666667,0.38000000000000006,0.0,0.1,2.3
old_all_bge_d10,old,10,all_bge,False,True,10,0.6333333333333333,0.62,0.4800000000000001,0.7633333333333334,0.6233333333333333,0.5666666666666667,0.38000000000000006,0.0,0.1,2.3
old_selective_bge_d20,old,20,selective_bge,True,False,10,0.6333333333333333,0.62,0.4800000000000001,0.7933333333333333,0.6433333333333333,0.5666666666666667,0.4000000000000001,0.0,0.1,2.5
structural_no_d10,structural,10,no_reranker,False,True,10,0.6,0.5700000000000001,0.43999999999999995,0.7100000000000001,0.55,0.4666666666666667,0.31999999999999995,0.0,0.2,1.6
structural_selective_bge_d10,structural,10,selective_bge,False,True,10,0.5333333333333334,0.5166666666666667,0.4600000000000001,0.7133333333333333,0.6266666666666667,0.5,0.4,0.0,0.0,1.2
structural_all_bge_d10,structural,10,all_bge,True,True,10,0.5333333333333334,0.5166666666666667,0.4600000000000001,0.7133333333333333,0.6266666666666667,0.5,0.4,0.0,0.0,1.2
structural_all_bge_d20,structural,20,all_bge,True,False,10,0.5666666666666667,0.55,0.5,0.7966666666666667,0.66,0.5,0.42000000000000004,0.0,0.0,1.0
