system,cohort,denominator,card_precision_at_3,card_recall_at_3,card_precision_at_5,card_recall_at_5,evidence_supported_card_recall_at_5,evidence_accuracy_at_3,evidence_accuracy_at_5,candidate_card_recall_at_20,bundle_reachable_evidence_recall_at_20,card_zero_hit_at_5,supported_zero_hit_at_5,mean_output_card_count,mean_unique_candidate_cards,mean_intersection_card_recall,mean_candidate_inflation_vs_current
old_selective_bge_d20,and_combination,10,0.6333333333333334,0.8416666666666668,0.42000000000000004,0.925,0.38333333333333336,0.3,0.18,0.95,0.7666666666666667,0.0,0.3,4.9,5.4,,
structural_combined_query_bundle_all_bge_d20,and_combination,10,0.5666666666666667,0.7583333333333333,0.38,0.8333333333333333,0.6333333333333333,0.4333333333333333,0.2800000000000001,0.8833333333333332,0.6333333333333333,0.0,0.0,4.9,6.8,,
oracle_atomic_union_bundle_all_bge,and_combination,10,0.6000000000000001,0.7916666666666667,0.43999999999999995,0.95,0.6916666666666667,0.4333333333333333,0.32,1.0,0.6916666666666667,0.0,0.0,5.0,8.2,0.8166666666666668,1.4
